,sentence,sentiment,tokens,sentiment_code
12,@BTS_twt_JHOSEOK Bien gracias y tú cómo estás sonrisa brillante 😁 espero que estés bien me encanta lo alegre de tu persona,Positiva,btstwtjhoseok gracias sonrisa brillante esperar encantar alegre persona,1
13,a veces pienso ostia tio que graciosa soy esque tengo unos puntazos luego llego a mi casa y me pongo a llorar 3 horas seguidas,Negativa,pensar ostia tio gracioso esque puntazo llego casa poner llorar seguido,-1
14,Lo que @virgilio_acuna no sabe es que con lo racista que es #LopezAliaga lo va a utilizar y después le va a tirar una patada donde ya sabe. QUÉ ILUSO! o qué cree que le van a dar un MINISTERIO?                             PAPANATAS que se alegre si lo contratan como porta pliegos https://t.co/rc2nVNpZp3,Positiva,virgilioacuna racista lopezaliago utilizar tirar patada iluso creer ministerio papanata alegre contratir portar pliego,1
15,A veces me pongo triste por los jóvenes que no están pudiendo disfrutar al 100% la vida por la pandemia y después me doy cuenta que yo soy los jóvenes.,Negativa,poner triste joven poder disfrutar vida pandemio dar joven,-1
16,"""Una publicación en Redes Sociales hizo que, al menos 15 mujeres descubrieran que tienen una triste historia en común. Un sujeto ofrece trabajo en la venta de frutas y caldosas a domicilio pero, según las denuncias, las mujeres que no tienen carné de manipulación de alimentos https://t.co/rtHyHVb98V",Neutra,publicacion red social mujer descubrir triste historia comun sujeto ofrecer venta fruta caldosa domicilio denuncia mujer carne manipulacion alimento,0
17,LA REINA DE ESPAÑA HA HABLADO https://t.co/yWIto8d9QS,Neutra,reina españo hablado,0
18,Yo espero ver una acá jaja así ! Pra reventarme jajajaja de la risa https://t.co/tmRd7zyO1c,Positiva,esperar aca jajo pra reventar yo jajajajo risa,1
19,"El siniestro @MonederoJC pide que Bolivia emita una orden internacional de búsqueda y captura contra mi ¡¡¡por haber destapado la pedofilia de Evo Morales!!! 

Pobre ridículo. Es un chavista financiado que se cree capaz de amordazar a la prensa libre a golpe de tuits. De risa.",Negativa,siniestro monederojc pedir bolivia emitir orden internacional busquedo captura destapado pedofilio evo moral pobre ridiculo chavista financiado creer capaz amordazar prensa libre golpe tuits risa,-1
20,"A este punto tanta rigidez en la adopción promueve la compra de mascotas, es triste porque en los refugios sobrepoblados los duermen. Es decir, un bucle desastroso lleno de buenas intenciones. https://t.co/Bc5pdjM91Q",Positiva,punto tanto rigidez adopcion promover compra mascota triste refugio sobrepoblado duermar bucle desastroso lleno intencion,1
21,@LssdSheriffs Pues me enfado y no respiro,Negativa,lssdsheriff enfado respiro,-1
22,"Legalización de la mariguana pone a #México al tope del negocio.

https://t.co/qHmW2qgtEG",Neutra,legalizacion mariguan poner mexico tope negocio,0
23,que triste ser burbuja 1 no?,Negativa,triste burbuja,-1
24,"Hoy España, somos tan ayer 🤪 https://t.co/dpkggiwN2w",Neutra,españa,0
25,"Nada más hermoso que despertar feliz, escuchar música alegre y desayunar bolón con caféee... 🍃❤",Positiva,hermoso despertar feliz escuchar musica alegre desayunar bolon cafeee,1
26,"@daisybtncrt ...así es mi Daisy, no basta desear tener un excelente día, hay que salir a buscarlo y trabajar para merecerlo... la felicidad no viene sola... hay que ganarla!!! 
🤗🌈🌇☕🌼🌿💙🎉🎊💫✨☕",Positiva,daisybtncrt daisy bastar desear excelente salir buscar el merecer el felicidad venir ganar el,1
27,"La Banda de Forajidos Murcianos (PP) ofrece a los nazis (VOX) la Consejería de Educación. ¡¡Ilegalizacón del nazismo!!  https://t.co/CVvLLLGqDU 
Hoy España #eutanasia  Abogados Cristianos Rufián #FelizJueves El Congreso #LaDerogaremos Educación y Cultura Ramón Sampedro https://t.co/ifHILgeS4Z",Neutra,banda forajido murciano ofrecer nazi vox consejeria educacion ilegalizacon nazismo españo eutanasiaabogado cristiano rufian felizjuev congreso laderogarer educacion cultura ramon sampedro,0
28,"ㅤ

             Soñé que al fin
       volvíamos a abrazarnos.
        Nunca un despertar me
            pareció tan triste. 

ㅤㅤ",Negativa,soñar volver abrazar yo despertar parecer triste,-1
29,"@2323_leon @telecincoes Me da risa lo que dices, menuda jeta tiene toda esta gentecilla",Negativa,leon telecincoes risa decir menudo jeta gentecilla,-1
30,"Oposición comienza a llamar a paro nacional por proyecto que extiende periodo presidencial
https://t.co/tYVyLWxVg7 #MañanasBLU https://t.co/YIKyiM2jK4",Neutra,oposicion comenzar llamar paro nacional proyecto extender periodo presidencial mañanasblu,0
31,Estoy en el trabajo y me fui a brindar y saltar de felicidad al baño mientras veía el #SquareEnixPresents ❤❤❤ OMG MUCHAS GRACIAS!! VOY A COMPRAR TODO LO QUE EXISTA DE #LifeIsStrange https://t.co/ZrudjtWcmV,Positiva,brindar saltar felicidad baño ver squareenixpresents omg gracia comprar existir lifeisstrange,1
32,"Hoy debo confesar que como Médico ayer entre en #Panico despues de terminar la consulta,y de los 15 pacientes 10 fueron casos altamente potenciales para covid19, solo pense en mi familia y futuro... se me volvio incierto el futuro..... #COVID19 lo mejor fue drenar y llorar",Negativa,deber confesar medico panico terminar consulta paciente caso altamente potencial covid pense familia futuro volver incierto futuro covid drenar llorar,-1
33,"Tengo 28 años. Llevo meses que no estoy bien, no soy la misma persona alegre y divertida que conocemos. Convivo con ataques de ansiedad, llantos casi diarios y una sensación de tristeza y cansancio tremenda. Cuando empecé se lo comenté a mi médico y me recetó lexatin y diazepam.",Negativa,año llevar mes persona alegre divertido conocer convivo ataque ansiedad llanto diario sensacion tristeza cansancio tremendo empezar comentar medico recetar lexatin  diazepam,-1
34,"Si te sientes triste el día de hoy, te recuerdo que Namjoon dijo que eras su amor, la mejor amiga de Taehyung, el mundo de Jin, el orgullo de Jungkook, el héroe de Yoongi, el futuro de Jimin, la esperanza de Hoseok y la razón de BTS.

@BTS_twt",Negativa,sient triste recuerdo namjoon amor amiga taehyung mundo jin orgullo jungkook heroe yoongi futuro jimin esperanza hoseok razon bts btstwt,-1
35,@Teleantioquia Respeto y no quiero aguar esa felicidad.,Neutra,teleantioquia respeto querer aguar felicidad,0
36,@91LTiHS Me voy a llorar,Negativa,ltihs llorar,-1
37,"El que no tiene voluntad de cambiar no cambia nunca, es triste pero es así. Dejemos de buscar la felicidad en el mismo lugar donde la perdimos",Positiva,voluntad cambiar cambiar triste dejar buscar felicidad perder,1
38,Soy una canasta triste https://t.co/mvPPGqQuWF,Negativa,canasta triste,-1
39,🔴 ÚLTIMA HORA | La OMS avisa a España de que está en riesgo de un repunte de casos y pide cumplir con las medidas sanitarias https://t.co/TGXrhpviIO https://t.co/0SWfWADylh,Negativa,hora oms avisar españa riesgo repunte caso pedir cumplir medida sanitario,-1
40,"Ibai a su chat: A ver, hago una encuesta. Quién sería mejor padre Auron o yo? No me enfado, pero por favor votad con sinceridad, necesito saberlo

Encuesta: *Gana Auron*

Ibai: SOIS UNOS HIJOS DE PUTA Y ME CAGO EN TODA VUESTRA PUTA MADRE!! CÓMO VA A GANAR AURON?!",Neutra,ibai chat encuesta padre auron enfado favor votad sinceridad necesitar saber el encuesto ganar auron ibai hijo puto cago puto madre ganar auron,0
41,"PERDER EL APETITO POR ESTAR TRISTE ES EL PEOR SENTIMIENTO DE TODOS, TENGO PRUEBAS Y CERO DUDAS",Negativa,perder apetito triste sentimiento prueba cero duda,-1
42,"Es normal estar triste por la muerte de alguien sin conocerlo, ni su trayectoria, ni su música, ni su vida. Al final era una persona, antes de todo lo demás. 
Dejen el ""ahora todos eran fans de..."" y tirarle hate a los demás, esto no es una competencia, 'tamos muy viejos pa' eso.",Positiva,normal triste muerte alguien conocer el trayectorio musica vida persona dejar fan tirar el hate competencia tir viejo,1
43,"Si me preguntaran dónde está la felicidad, les responderé que está aquí, conmigo, escuchando la conversación rutinaria con mi mujer, mientras se arregla frente al espejo, y yo reviso mi celular aprovechando las pausas largas del diálogo.",Positiva,preguntar felicidad responder escuchar conversacion rutinario mujer arreglir frente espejo reviso celular aprovechar pausa larga dialogo,1
44,Shigeru Miyamoto y la felicidad de finalmente inaugurar oficialmente el Super Nintendo World en Japón 🤓 https://t.co/pbm1djbK9f,Positiva,shigeru miyamoto felicidad finalmente inaugurar oficialmente super nintendo world japon,1
45,"Muy preocupante: En el reino de España hay un auge de la extrema derecha franquista

📍#DesdeDondeSeaTips con Miguel Ángel Pérez Pirela 

Sólo por La Iguana TV 🦎

 https://t.co/DCaftGJnUR",Negativa,preocupante reino españo auge extremo derecha franquista desdedondeseatips miguel angel perez pirelar iguana,-1
46,"ㅤ

             Soñé que al fin
       volvíamos a abrazarnos.
        Nunca un despertar me
            pareció tan triste. 

ㅤㅤ",Positiva,soñar volver abrazar yo despertar parecer triste,1
47,"Enterarme que un muchacho de 22 años está en cuidados intensivos, por evitar que a su perrito lo atropellara un camión y lo atropellara a él, es la noticia más triste de mi semana 🥺💔",Negativa,enterar yo muchacho año cuidado intensivo evitar perrito atropellar camion atropellar noticia triste semana,-1
48,"Juego lol, y paso de estar triste a tener pensamientos terroristas",Negativa,juego lol paso triste pensamiento terrorista,-1
49,Encontraron $1.400.000 en una camioneta con militantes del Movimiento Evita https://t.co/hnUxGqx7oA,Neutra,encontrar camioneta militante movimiento evitar,0
50,"Continuidad histórica de sistemáticas violaciones a derechos humanos, prisión política, tortura y asesinatos, ratificados en informes internacionales, dan cuenta que enfrentamos una Dictadura que aplica el Terrorismo de Estado en Chile contra su “enemigo interno”: El Pueblo.",Negativa,continuidad historico sistematico violacion derechos humanos prision politico torturo asesinato ratificado informe internacional enfrentar dictadura aplicar terrorismo chile enemigo interno pueblo,-1
51,feliz feliz alegre alegre 🙏🏼🙏🏼🙏🏼,Positiva,feliz feliz alegre alegre,1
52,"#Seguridad 

🚨Mirá lo que le dijo Sergio Berni a un funcionario de la Seguridad Nacional.

https://t.co/dgOvKrj2lj",Neutra,seguridad mira sergio berni funcionario seguridad nacional,0
53,carlos palácios - inter de porto alegre (brasil),Neutra,car el palacio inter porto alegre brasil,0
54,los que somos de risa fácil somos también de lágrima fácil,Neutra,risa facil lagrima facil,0
55,"MUCHO ASCO, RECHAZO,UN TREMENDO ENFADO Y MUCHA VERGÜENZA DE PERTENECER AL. MISMO ""GÉNERO"" QUE ESTE IMBECIL, ES LO QUE ACABO DE SENTIR AL VER EL VIDEO DE,(LOS LLAMARE""IMPRESENTABLES""POR NO LLAMARLES OTRA.COSA)DENIGRANDO, VEJANDO Y RIÉNDOSE DE UNA PERSONA POR SU GÉNERO,➕⬇️",Negativa,asco rechazo tremendo enfado vergüenza pertenecer genero imbecil acabar sentir video llamarar impresentables llamar el cosa denigrar vejar reir el persona genero,-1
56,"@elcomercio_peru Que risa da este puerco Rafael López Aliaga,  se cree muy hábil pero vemos como a diario se dispara a los pies. A ese paso no llegará ni a la esquina, ya lo verán es solo cuestión de tiempo.",Negativa,elcomercioperu risa puerco rafael lopez aliago creer habil ver diario disparar pies paso llegar esquina ver cuestion,-1
57,"@teresajbecerril Sra. Jiménez-Becerril nunca olvidaré el día que escuché la triste y desgarradota noticia de su familia. Mucho ánimo y fuerza, es usted valiente. La Sra. Lastra es una ágrafa y de muy baja calidad moral. Mucho cariño para usted y los suyos.",Neutra,teresajbecerril sra jimenez becerril olvidar escuche triste desgarradoto noticia familia animo fuerza valiente sra lastrar agrafa bajo calidad moral cariño,0
58,"PERDER EL APETITO POR ESTAR TRISTE ES EL PEOR SENTIMIENTO DE TODOS, TENGO PRUEBAS Y CERO DUDAS",Negativa,perder apetito triste sentimiento prueba cero duda,-1
59,"#MIRONEWS El Prof John Magufuli, Graduado en Ciencias, Químico y Matemático apodado El Bulldozer por su lucha contra la corrupción era presidente de Tanzania y “ha muerto”; denunció a Tedros Adhanom porque lo conocía bien. Un día triste para la justicia en el Mundo. Un aullido https://t.co/usk98DMB3S",Negativa,mironews prof john magufuli graduado ciencia quimico matematico apodado bulldozer luchar corrupcion presidente tanzania muerto denunciar tedro adhanom conocer triste justicia mundo aullido,-1
60,"MÚSICA Y LÁGRIMAS (1953)

Servicial biopic sobre la figura de Glenn Miller, que mezcla musical con melodrama y la siempre agradable presencia de James Stewart. Enérgico, alegre y colorido retrato del mundo jazzístico con cameos estelares. La música está por encima de la historia. https://t.co/BvjoEC3d6N",Neutra,musica lagrima servicial biopic figurar glenn miller mezcla musical melodrama agradable presencia james stewart energico alegre colorido retrato mundo jazzistico cameo estelar musica historio,0
61,El verdadero “te vi un rato y se me fue lo triste” https://t.co/IEnhDo1NKu,Neutra,rato triste,0
62,"Tu silencio ha prolongado mi condena, a seguir pasando mil noches en vela y me haces falta como al valle el festival. Quiero ser cual locutor valiente que anda triste y nadie sabe lo que tiene, de repente se le escucha hablar alegre, lo llamo su gran amor al celular... https://t.co/rVq0YnL3pN",Negativa,silencio prolongado condena seguir pasar mil noche vela faltar valle festival querer locutor valiente andar triste escuchar hablar alegre llamar amor celular,-1
63,"España tiene muerte digna. Seas de derechas, de izquierdas, del Madrid o del Barça tienes ese derecho. No le harás daño a nadie y te ayudará mucho si lo necesitas. Enhorabuena a todos. Y, a los que hoy se quejan, en unos años les damos también la enhorabuena. Como siempre, vamos.",Neutra,españa muertir digno derecha izquierdo madrid barça derecho haras daño ayudar necesita enhorabuena quejar año dar enhorabuena,0
64,"llorar también es vibrar alto nenis, no se confundan :)",Negativa,llorar vibrar alto nenis confundir,-1
65,lo triste que me pone ver a mujeres tan chulísimas y guapísimas pelearse entre sí y pisándose unas a otras por el consumidor de cachimba medio,Negativa,triste poner mujer chulisima guapisima pelear el pisar el consumidor cachimbo,-1
66,Cuando Efraín Alegre sale a hablar cada vez que pasa algo https://t.co/pkAKfgysNF,Neutra,efrain alegre salir hablar pasar,0
67,"Por miedo a no sabemos que permiten que un don nadie, un pelele, un bueno para nada como Guaido haga con el país y nuestras leyes lo que le plazca, ¿Si es por el riesgo a que los EEUU nos invada?, pues, déjenme decirles que ya lo está haciendo por medio de este baboso",Negativa,miedo permitir don pelele guaido hacer pais ley plazca riesgo eeuu invado dejenme decir el baboso,-1
68,"aaaaah no saben lo alegre que estoy de que a Taehyun le guste Zayn

@TXT_bighit @TXT_members https://t.co/2tiaN09rTr",Positiva,aaaaah alegre taehyun gustar zayn txtbighit txtmembers,1
69,"@Sinfrontera7 @maguilue #FelizJueves
Maguie
Luciano
Les deseo un alegre día
Que vecino😍😍😍😍😍 jajaja https://t.co/2gdb61wcA0",Positiva,sinfrontero maguilue felizjuev maguie luciano deseo alegre vecino jajaja,1
70,@mylightSg7 maldita puta ahora por tu culpa estoy triste,Negativa,mylightsg maldito puto culpa triste,-1
71,Imagínate que a alguien no le gusten los ñoquis? Eso sí que es una vida triste https://t.co/Uq3d33RQpk,Neutra,imaginatir alguien gustar ñoqui vida triste,0
72,"Muchachos de twitter, está belleza está buscando hogar. Su historia es muy triste, lo abandonó su dueño porque le regalaron un perrito Husky, por lo que estuvo abandonado y solito mucho tiempo, hasta que una señora de buen corazón lo recogió y lo esterilizó. https://t.co/OekWIDWMfo",Neutra,muchacho twitter belleza buscar hogar historia triste abandonar dueño regalar perrito husky abandonado solito señoro corazon recoger esterilizar,0
73,@adryx_virgis Incorrectamente correcto. Pero alegre.,Positiva,adryxvirgis incorrectamente correcto alegre,1
74,"Entienden el nivel de preocupación que tenemos? Nos alegramos como nunca xq Maia apareció viva, sana y salva, felices xq sabemos que nunca termina así, hoy podemos decir que hubo un final feliz, que puede disfrutar todos los años que le quedan por vivir, muy triste todo esto.",Negativa,entender nivel preocupacion alegrar maia aparecer viva sano salva felices terminar feliz disfrutar año quedar vivir triste,-1
75,Escuchar nobody slowed song de mistki es la cosa más triste del mes.,Negativa,escuchar nobody slowed song mistki cosa triste mes,-1
76,"PARA EL IMPULSO DE LA POLÍTICA ECOSOCIALISTA | G/D Carlos Ramón Enrique Carvallo Guevara es el nuevo presidente de Corpoez

#HitoBicentenario3millones500mil 
#DaleUnParaoALaCovid19

https://t.co/5D91BDnbuP https://t.co/dk6QfT6nqP",Neutra,impulso politico ecosocialista car el ramon enrique carvallo guevaro presidente corpoez hitobicentenariomillonesmil daleunparaoalacovid,0
77,"nunca me voy a olvidar de cuando salía con un mega cheto y le conté que estaba triste por mi trabajo y su respuesta fue ""renuncia boluda"" jajdjaja people need money steven",Negativa,olvidar salir mega cheto conte triste respuesta renunciar boluda jajdjajo people need money steven,-1
78,Estoy muy triste y lo único que me puede levantar el ánimo es escuchar #Defenceless de @Louis_Tomlinson. Me pueden complacer? Por fa @oye897 ?,Negativa,triste unico levantar animo escuchar defenceless louistomlinser complacer oir,-1
79,día número 2843884258823 sigo triste porque sott nunca fue considerado para un grammy,Negativa,numero seguir triste sott considerado grammy,-1
80,"no hay nada que me alegre tanto como ver la sonrisa de chuu bubbly, quiero que sea feliz siempre https://t.co/YtIWob1Qin",Positiva,alegre sonrisa chuu bubbly querer feliz,1
81,Un día muy triste para el fandom de #RadioFuna https://t.co/Qz8YGaB2aR,Neutra,triste fandom radiofuna,0
82,"😡🍊El enfado en los barrios de Ciudadanos: ""No les vuelvo a votar en mi vida"" 

#EnsancheSur #Fuentecisneros #ParqueOeste #Alcorcón #Retamas #Alcorcón 

 https://t.co/IcBy3B7Xm7",Negativa,enfado barrio ciudadano vuelvo votar vida ensanchesur fuentecisnero parqueoeste alcorcon retama alcorcon,-1
83,@luffysmiles triste porque same :(💜,Negativa,luffysmil triste same,-1
84,@amandamoraes500 Gcm de Porto Alegre DESPREPARADA https://t.co/wKzAHXysTc,Negativa,amandamoraes gcm porto alegre despreparado,-1
85,@IAmParalyzer @SalinasDeportes Y qué que sea un meme? Es como si te ponga lo de los 4 gatos o equipo chico jajajaja,Neutra,iamparalyzer salinasdeport memir poner gato equipo chico jajajajar,0
86,toy triste https://t.co/X2plndAuB5,Negativa,toy triste,-1
87,los logros de mis amigos -&gt; mi felicidad,Positiva,logro amigo felicidad,1
88,@guillerpinillos 🙏🙏🙏 Que Triste ¡ Despierta España!,Negativa,guillerpinillo triste despertar españa,-1
89,"a veces coco dice cosas q no entiendo pero me cae bien, me causa risa es cocomedias",Positiva,coco entender caer causa risa cocomedia,1
90,"Me acaban de decir que le parece triste que yo viaje solo, vaya a la playa solo y haga todo solo...

A mi me parece más triste dejar de hacer las cosas que te gustan esperando por la compañía de alguien, el ""no puedo, no tengo con quién"" 🤷🏾‍♂️",Negativa,acabar triste viaje playa hacer triste dejar gustar esperar compañia alguien,-1
91,Es una puta vergüenza que le regalen 53 millones a la aerolínea chavista Plus Ultra con 350 empleados. Ni una triste ayuda directa a hosteleros y luego regalando millonadas a sus socios chavistas. Además luego tienen los santos cojones de subir los impuestos a los autónomos.,Negativa,puto vergüenza regalir millon aerolinea chavista plus ultra empleado triste ayuda directo hostelero regalar millonada socio chavista santo cojones subir impuesto autonomo,-1
92,@Mippcivzla Compromiso con quienes me pregunto si en la entrega de las vegas II en el municipio los guayos fue toda un montaje fue el dia mas triste al ver que muchos los enchufados y pocos los que verdaderamente necesitaban y usted sr hildemaro fuedias antes y directamente entregue carpeta,Negativa,mippcivzla compromiso preguntar entrega vega municipio guayo montaje triste enchufado verdaderamente necesitar hildemaro fuedia directamente entregar carpeta,-1
93,"¿Les cuento algo? El 19 de marzo es el aniversario de Luzu y Lana, van a tener 11 años juntitos y lo van a festejar junto a su bebé por primera vez, estoy muy triste, los amo muchísimo 🥺💕 https://t.co/SfiLjhQm4y",Positiva,contar marzo aniversario luzu lan año juntito festejar bebe triste amar muchisimo,1
94,"PERDER EL APETITO POR ESTAR TRISTE ES EL PEOR SENTIMIENTO DE TODOS, TENGO PRUEBAS Y CERO DUDAS",Negativa,perder apetito triste sentimiento prueba cero duda,-1
95,"Mi hijo se va todos lados con un peluche de elefante, al pobre lo pasa por el barro, piso, agua de todo, y a la hora de dormir me lo mete a la cama, todos los dias lo lavo harta con el elefantito, pero su felicidad y verlo abrazado mientas duerme es todo",Negativa,hijo lado peluchar elefante pobre pasar barro piso agua hora dormir meter cama lavar harto elefantito felicidad ver el abrazado mienta dormir,-1
96,"Yongseung dijo que la tercera semana de promociones comenzó, la siguiente semana es ls última:( ando triste",Neutra,yongseungir semana promocion comenzar semana ar triste,0
97,"Técnicas de confrontación
 -  https://t.co/CzkUEu2qyg",Neutra,tecnico confrontacion,0
98,yo a la 1 a.m. llorando por una canción en inglés que no entiendo pero se escucha triste: https://t.co/RUV0HeqTru,Neutra,llorar cancion ingles entender escucha triste,0
99,la felicidad... tal vez algún día la conozca,Positiva,felicidad conocer,1
100,🔴 ÚLTIMA HORA | El Congreso aprueba definitivamente la Ley de Eutanasia en España https://t.co/VpE8N43zbU https://t.co/pWzlpyB7vb,Positiva,hora congreso aprobar definitivamente ley eutanasio españo,1
101,"que triste el hecho de que estamos tan acostumbradas a que todos los casos terminen de la peor manera y nos sorprendamos de que la hayan encontrado viva, es una mierda https://t.co/ngJmkct75M",Negativa,triste acostumbrado caso terminar sorprendar encontrado vivo mierda,-1
102,"wow, 1200 días desde el debut de tbz, como lo digo siempre; estoy muy agradecida con ellos, muy orgullosa y los amo mucho, les deseo mucha salud y felicidad por siempre y para siempre🌹

@WE_THE_BOYZ
@Creker_THEBOYZ
#THEBOYZ1200DAYZ
#더보이즈_데뷔1200일_축하해 https://t.co/Yc8GCueaUc",Positiva,wow debut tbz decir agradecido orgulloso amar deseo salud felicidad wetheboyz crekertheboyz theboyzdayz 더보이즈데뷔일축하해,1
103,Mi negro no le entra mas felicidad en el cuerpo 🙈🤗😉,Positiva,negro entrar felicidad cuerpo,1
104,@smellydara Absolutamente nada mi madre ha pedido cita porque sí dios qué enfado llevo,Negativa,smellydar absolutamente madre pedido cita dios enfado llevar,-1
105,"No ha habido dinero para salvar a ninguna de las 100.000 PYMES abocadas al cierre en España, pero es estratégica Plus Ultra, aerolínea de capital venezolano de 350 empleados y 1 avión en servicio, por 53 millones de euros; 151.000 euros por trabajador. Ultraprevaricar.",Negativa,dinero salvar pyme abocada cierre españo estrategico plus ultra aerolinea capital venezolano empleado avion servicio millon euros euros trabajador ultraprevaricar,-1
106,"@StrMune Si me entero que no le guardas a @Nahrelia alguno, me enfado! Disfrutarlos, bonicos!",Negativa,strmune entero guardas nahrelio enfado disfrutar el bonico,-1
107,"@FDOFLORES Otro... Que carajo tuvo que ver liga en ese asunto? Vino jugando de otros equipos! No se formó en liga! Dejen de llorar! Los del astillero si tienen laaaargaaa experiencia en jugadores con edad trucha, vieja práctica de los Roggiero, Villacis, etc.. Pucha que son llorones acá!!.",Negativa,fdoflor carajo liga asunto venir jugar equipo formar liga dejar llorar astillero laaaargaao experiencia jugador edad trucha viejo practico roggiero villacis etc pucho lloron aca,-1
108,"Tendemos a pensar que hay emociones buenas y emociones malas, pero lo cierto es que todas las emociones son necesarias. La tristeza es una emoción básica, junto con la alegría, el enfado, la sorpresa y el miedo. Por eso es tan importante que nos permitamos sentir todas ellas.",Positiva,tender pensar emocion emocion mala emocion necesario tristeza emocion basico alegria enfado sorpresar miedo importante permitar sentir,1
109,"que triste xfa, sabes pq mencione todo eso? pq apoyas a un par d hormonados q me llaman puta por simplemente ser mujer y vos también estas haciendo lo mismo, q horror que t chupe un huevo, ojala no tengas q pasar por nada así ni q tengamos q pedir justicia pq t mato un machito https://t.co/udpejHkYd4",Negativa,triste xfa mencionir apoyas par hormonado llamar puta simplemente mujer vos horror chupe huevo ojala pasar pedir justicia mato machito,-1
110,Musiquita de la felicidad. 😊🎶 https://t.co/pPshWEzEfS,Positiva,musiquita felicidad,1
111,🔴 ÚLTIMA HORA | Sanidad notifica 6.216 nuevos contagios de coronavirus y 117 muertes. La incidencia en España vuelve a subir ligeramente https://t.co/bNldTn8gRR https://t.co/ANmF88hkCD,Negativa,hora sanidad notificar contagio coronavirus muerte incidencia españa volver subir ligeramente,-1
112,"""camila está muy mal con shawn, se ve triste"" 
camila: https://t.co/rjg15dGugV",Positiva,camila shawn triste camila,1
113,Lamento tener que tuitear esta vez. Murió Don Luis Bedoya. Con él se fue una clase política que ya quisiéramos tener.,Neutra,lamento tuitear morir don luis bedoya clase politico quisiser,0
114,@pupinaplomer Te abrazo fuerte. Por que se ve que tu papá no sabe hacerlo. Conozco casos de amigas que les contaron a sus papas y no les creyeron muy triste.,Negativa,pupinaplomer abrazo fuerte papa conocer caso amigo contar papas creer triste,-1
115,España suma 6.216 nuevos contagios  y 117 muertes más https://t.co/izI1Tgszu7,Negativa,españa sumar contagiosy muerte,-1
116,@Pablo_Alegre @SalinasDeportes Jajajaja ya tranquilo oe . Es un meme 🤣,Positiva,pabloalegre salinasdeport jajajajar tranquilo meme,1
117,bye not me diciendo q no importa cuando acabo de llorar media hora por una calificación,Negativa,bye not decir importar acabo llorar medio hora calificacion,-1
