sentence,vote
"Hoy España, somos tan ayer 🤪 https://t.co/dpkggiwN2w",Neutra
"Nada más hermoso que despertar feliz, escuchar música alegre y desayunar bolón con caféee... 🍃❤",Positiva
"@daisybtncrt ...así es mi Daisy, no basta desear tener un excelente día, hay que salir a buscarlo y trabajar para merecerlo... la felicidad no viene sola... hay que ganarla!!! 
🤗🌈🌇☕🌼🌿💙🎉🎊💫✨☕",Positiva
"La Banda de Forajidos Murcianos (PP) ofrece a los nazis (VOX) la Consejería de Educación. ¡¡Ilegalizacón del nazismo!!  https://t.co/CVvLLLGqDU 
Hoy España #eutanasia  Abogados Cristianos Rufián #FelizJueves El Congreso #LaDerogaremos Educación y Cultura Ramón Sampedro https://t.co/ifHILgeS4Z",Neutra
"ㅤ

             Soñé que al fin
       volvíamos a abrazarnos.
        Nunca un despertar me
            pareció tan triste. 

ㅤㅤ",Negativa
"@2323_leon @telecincoes Me da risa lo que dices, menuda jeta tiene toda esta gentecilla",Negativa
"Oposición comienza a llamar a paro nacional por proyecto que extiende periodo presidencial
https://t.co/tYVyLWxVg7 #MañanasBLU https://t.co/YIKyiM2jK4",Neutra
Estoy en el trabajo y me fui a brindar y saltar de felicidad al baño mientras veía el #SquareEnixPresents ❤❤❤ OMG MUCHAS GRACIAS!! VOY A COMPRAR TODO LO QUE EXISTA DE #LifeIsStrange https://t.co/ZrudjtWcmV,Positiva
"Hoy debo confesar que como Médico ayer entre en #Panico despues de terminar la consulta,y de los 15 pacientes 10 fueron casos altamente potenciales para covid19, solo pense en mi familia y futuro... se me volvio incierto el futuro..... #COVID19 lo mejor fue drenar y llorar",Negativa
"Tengo 28 años. Llevo meses que no estoy bien, no soy la misma persona alegre y divertida que conocemos. Convivo con ataques de ansiedad, llantos casi diarios y una sensación de tristeza y cansancio tremenda. Cuando empecé se lo comenté a mi médico y me recetó lexatin y diazepam.",Negativa
"Si te sientes triste el día de hoy, te recuerdo que Namjoon dijo que eras su amor, la mejor amiga de Taehyung, el mundo de Jin, el orgullo de Jungkook, el héroe de Yoongi, el futuro de Jimin, la esperanza de Hoseok y la razón de BTS.

@BTS_twt",Negativa
@Teleantioquia Respeto y no quiero aguar esa felicidad.,Neutra
@91LTiHS Me voy a llorar,Negativa
"El que no tiene voluntad de cambiar no cambia nunca, es triste pero es así. Dejemos de buscar la felicidad en el mismo lugar donde la perdimos",Positiva
Soy una canasta triste https://t.co/mvPPGqQuWF,Negativa
🔴 ÚLTIMA HORA | La OMS avisa a España de que está en riesgo de un repunte de casos y pide cumplir con las medidas sanitarias https://t.co/TGXrhpviIO https://t.co/0SWfWADylh,Negativa
"Ibai a su chat: A ver, hago una encuesta. Quién sería mejor padre Auron o yo? No me enfado, pero por favor votad con sinceridad, necesito saberlo

Encuesta: *Gana Auron*

Ibai: SOIS UNOS HIJOS DE PUTA Y ME CAGO EN TODA VUESTRA PUTA MADRE!! CÓMO VA A GANAR AURON?!",Neutra
"PERDER EL APETITO POR ESTAR TRISTE ES EL PEOR SENTIMIENTO DE TODOS, TENGO PRUEBAS Y CERO DUDAS",Negativa
"Es normal estar triste por la muerte de alguien sin conocerlo, ni su trayectoria, ni su música, ni su vida. Al final era una persona, antes de todo lo demás. 
Dejen el ""ahora todos eran fans de..."" y tirarle hate a los demás, esto no es una competencia, 'tamos muy viejos pa' eso.",Positiva
"Si me preguntaran dónde está la felicidad, les responderé que está aquí, conmigo, escuchando la conversación rutinaria con mi mujer, mientras se arregla frente al espejo, y yo reviso mi celular aprovechando las pausas largas del diálogo.",Positiva
Shigeru Miyamoto y la felicidad de finalmente inaugurar oficialmente el Super Nintendo World en Japón 🤓 https://t.co/pbm1djbK9f,Positiva
"Muy preocupante: En el reino de España hay un auge de la extrema derecha franquista

📍#DesdeDondeSeaTips con Miguel Ángel Pérez Pirela 

Sólo por La Iguana TV 🦎

 https://t.co/DCaftGJnUR",Negativa
"ㅤ

             Soñé que al fin
       volvíamos a abrazarnos.
        Nunca un despertar me
            pareció tan triste. 

ㅤㅤ",Positiva
"Enterarme que un muchacho de 22 años está en cuidados intensivos, por evitar que a su perrito lo atropellara un camión y lo atropellara a él, es la noticia más triste de mi semana 🥺💔",Negativa
"Juego lol, y paso de estar triste a tener pensamientos terroristas",Negativa
Encontraron $1.400.000 en una camioneta con militantes del Movimiento Evita https://t.co/hnUxGqx7oA,Neutra
"Continuidad histórica de sistemáticas violaciones a derechos humanos, prisión política, tortura y asesinatos, ratificados en informes internacionales, dan cuenta que enfrentamos una Dictadura que aplica el Terrorismo de Estado en Chile contra su “enemigo interno”: El Pueblo.",Negativa
feliz feliz alegre alegre 🙏🏼🙏🏼🙏🏼,Positiva
"#Seguridad 

🚨Mirá lo que le dijo Sergio Berni a un funcionario de la Seguridad Nacional.

https://t.co/dgOvKrj2lj",Neutra
carlos palácios - inter de porto alegre (brasil),Neutra
los que somos de risa fácil somos también de lágrima fácil,Neutra
"MUCHO ASCO, RECHAZO,UN TREMENDO ENFADO Y MUCHA VERGÜENZA DE PERTENECER AL. MISMO ""GÉNERO"" QUE ESTE IMBECIL, ES LO QUE ACABO DE SENTIR AL VER EL VIDEO DE,(LOS LLAMARE""IMPRESENTABLES""POR NO LLAMARLES OTRA.COSA)DENIGRANDO, VEJANDO Y RIÉNDOSE DE UNA PERSONA POR SU GÉNERO,➕⬇️",Negativa
"@elcomercio_peru Que risa da este puerco Rafael López Aliaga,  se cree muy hábil pero vemos como a diario se dispara a los pies. A ese paso no llegará ni a la esquina, ya lo verán es solo cuestión de tiempo.",Negativa
"@teresajbecerril Sra. Jiménez-Becerril nunca olvidaré el día que escuché la triste y desgarradota noticia de su familia. Mucho ánimo y fuerza, es usted valiente. La Sra. Lastra es una ágrafa y de muy baja calidad moral. Mucho cariño para usted y los suyos.",Neutra
"PERDER EL APETITO POR ESTAR TRISTE ES EL PEOR SENTIMIENTO DE TODOS, TENGO PRUEBAS Y CERO DUDAS",Negativa
"#MIRONEWS El Prof John Magufuli, Graduado en Ciencias, Químico y Matemático apodado El Bulldozer por su lucha contra la corrupción era presidente de Tanzania y “ha muerto”; denunció a Tedros Adhanom porque lo conocía bien. Un día triste para la justicia en el Mundo. Un aullido https://t.co/usk98DMB3S",Negativa
"MÚSICA Y LÁGRIMAS (1953)

Servicial biopic sobre la figura de Glenn Miller, que mezcla musical con melodrama y la siempre agradable presencia de James Stewart. Enérgico, alegre y colorido retrato del mundo jazzístico con cameos estelares. La música está por encima de la historia. https://t.co/BvjoEC3d6N",Neutra
El verdadero “te vi un rato y se me fue lo triste” https://t.co/IEnhDo1NKu,Neutra
"Tu silencio ha prolongado mi condena, a seguir pasando mil noches en vela y me haces falta como al valle el festival. Quiero ser cual locutor valiente que anda triste y nadie sabe lo que tiene, de repente se le escucha hablar alegre, lo llamo su gran amor al celular... https://t.co/rVq0YnL3pN",Negativa
"España tiene muerte digna. Seas de derechas, de izquierdas, del Madrid o del Barça tienes ese derecho. No le harás daño a nadie y te ayudará mucho si lo necesitas. Enhorabuena a todos. Y, a los que hoy se quejan, en unos años les damos también la enhorabuena. Como siempre, vamos.",Neutra
"llorar también es vibrar alto nenis, no se confundan :)",Negativa
lo triste que me pone ver a mujeres tan chulísimas y guapísimas pelearse entre sí y pisándose unas a otras por el consumidor de cachimba medio,Negativa
Cuando Efraín Alegre sale a hablar cada vez que pasa algo https://t.co/pkAKfgysNF,Neutra
"Por miedo a no sabemos que permiten que un don nadie, un pelele, un bueno para nada como Guaido haga con el país y nuestras leyes lo que le plazca, ¿Si es por el riesgo a que los EEUU nos invada?, pues, déjenme decirles que ya lo está haciendo por medio de este baboso",Negativa
"aaaaah no saben lo alegre que estoy de que a Taehyun le guste Zayn

@TXT_bighit @TXT_members https://t.co/2tiaN09rTr",Positiva
"@Sinfrontera7 @maguilue #FelizJueves
Maguie
Luciano
Les deseo un alegre día
Que vecino😍😍😍😍😍 jajaja https://t.co/2gdb61wcA0",Positiva
@mylightSg7 maldita puta ahora por tu culpa estoy triste,Negativa
Imagínate que a alguien no le gusten los ñoquis? Eso sí que es una vida triste https://t.co/Uq3d33RQpk,Neutra
"Muchachos de twitter, está belleza está buscando hogar. Su historia es muy triste, lo abandonó su dueño porque le regalaron un perrito Husky, por lo que estuvo abandonado y solito mucho tiempo, hasta que una señora de buen corazón lo recogió y lo esterilizó. https://t.co/OekWIDWMfo",Neutra
@adryx_virgis Incorrectamente correcto. Pero alegre.,Positiva
"Entienden el nivel de preocupación que tenemos? Nos alegramos como nunca xq Maia apareció viva, sana y salva, felices xq sabemos que nunca termina así, hoy podemos decir que hubo un final feliz, que puede disfrutar todos los años que le quedan por vivir, muy triste todo esto.",Negativa
Escuchar nobody slowed song de mistki es la cosa más triste del mes.,Negativa
"PARA EL IMPULSO DE LA POLÍTICA ECOSOCIALISTA | G/D Carlos Ramón Enrique Carvallo Guevara es el nuevo presidente de Corpoez

#HitoBicentenario3millones500mil 
#DaleUnParaoALaCovid19

https://t.co/5D91BDnbuP https://t.co/dk6QfT6nqP",Neutra
"nunca me voy a olvidar de cuando salía con un mega cheto y le conté que estaba triste por mi trabajo y su respuesta fue ""renuncia boluda"" jajdjaja people need money steven",Negativa
Estoy muy triste y lo único que me puede levantar el ánimo es escuchar #Defenceless de @Louis_Tomlinson. Me pueden complacer? Por fa @oye897 ?,Negativa
día número 2843884258823 sigo triste porque sott nunca fue considerado para un grammy,Negativa
"no hay nada que me alegre tanto como ver la sonrisa de chuu bubbly, quiero que sea feliz siempre https://t.co/YtIWob1Qin",Positiva
Un día muy triste para el fandom de #RadioFuna https://t.co/Qz8YGaB2aR,Neutra
"😡🍊El enfado en los barrios de Ciudadanos: ""No les vuelvo a votar en mi vida"" 

#EnsancheSur #Fuentecisneros #ParqueOeste #Alcorcón #Retamas #Alcorcón 

 https://t.co/IcBy3B7Xm7",Negativa
@luffysmiles triste porque same :(💜,Negativa
@amandamoraes500 Gcm de Porto Alegre DESPREPARADA https://t.co/wKzAHXysTc,Negativa
@IAmParalyzer @SalinasDeportes Y qué que sea un meme? Es como si te ponga lo de los 4 gatos o equipo chico jajajaja,Neutra
toy triste https://t.co/X2plndAuB5,Negativa
los logros de mis amigos -&gt; mi felicidad,Positiva
@guillerpinillos 🙏🙏🙏 Que Triste ¡ Despierta España!,Negativa
"a veces coco dice cosas q no entiendo pero me cae bien, me causa risa es cocomedias",Positiva
"Me acaban de decir que le parece triste que yo viaje solo, vaya a la playa solo y haga todo solo...

A mi me parece más triste dejar de hacer las cosas que te gustan esperando por la compañía de alguien, el ""no puedo, no tengo con quién"" 🤷🏾‍♂️",Negativa
Es una puta vergüenza que le regalen 53 millones a la aerolínea chavista Plus Ultra con 350 empleados. Ni una triste ayuda directa a hosteleros y luego regalando millonadas a sus socios chavistas. Además luego tienen los santos cojones de subir los impuestos a los autónomos.,Negativa
@Mippcivzla Compromiso con quienes me pregunto si en la entrega de las vegas II en el municipio los guayos fue toda un montaje fue el dia mas triste al ver que muchos los enchufados y pocos los que verdaderamente necesitaban y usted sr hildemaro fuedias antes y directamente entregue carpeta,Negativa
"¿Les cuento algo? El 19 de marzo es el aniversario de Luzu y Lana, van a tener 11 años juntitos y lo van a festejar junto a su bebé por primera vez, estoy muy triste, los amo muchísimo 🥺💕 https://t.co/SfiLjhQm4y",Positiva
"PERDER EL APETITO POR ESTAR TRISTE ES EL PEOR SENTIMIENTO DE TODOS, TENGO PRUEBAS Y CERO DUDAS",Negativa
"Mi hijo se va todos lados con un peluche de elefante, al pobre lo pasa por el barro, piso, agua de todo, y a la hora de dormir me lo mete a la cama, todos los dias lo lavo harta con el elefantito, pero su felicidad y verlo abrazado mientas duerme es todo",Negativa
"Yongseung dijo que la tercera semana de promociones comenzó, la siguiente semana es ls última:( ando triste",Neutra
"Técnicas de confrontación
 -  https://t.co/CzkUEu2qyg",Neutra
yo a la 1 a.m. llorando por una canción en inglés que no entiendo pero se escucha triste: https://t.co/RUV0HeqTru,Neutra
la felicidad... tal vez algún día la conozca,Positiva
🔴 ÚLTIMA HORA | El Congreso aprueba definitivamente la Ley de Eutanasia en España https://t.co/VpE8N43zbU https://t.co/pWzlpyB7vb,Positiva
"que triste el hecho de que estamos tan acostumbradas a que todos los casos terminen de la peor manera y nos sorprendamos de que la hayan encontrado viva, es una mierda https://t.co/ngJmkct75M",Negativa
"wow, 1200 días desde el debut de tbz, como lo digo siempre; estoy muy agradecida con ellos, muy orgullosa y los amo mucho, les deseo mucha salud y felicidad por siempre y para siempre🌹

@WE_THE_BOYZ
@Creker_THEBOYZ
#THEBOYZ1200DAYZ
#더보이즈_데뷔1200일_축하해 https://t.co/Yc8GCueaUc",Positiva
Mi negro no le entra mas felicidad en el cuerpo 🙈🤗😉,Positiva
@smellydara Absolutamente nada mi madre ha pedido cita porque sí dios qué enfado llevo,Negativa
"No ha habido dinero para salvar a ninguna de las 100.000 PYMES abocadas al cierre en España, pero es estratégica Plus Ultra, aerolínea de capital venezolano de 350 empleados y 1 avión en servicio, por 53 millones de euros; 151.000 euros por trabajador. Ultraprevaricar.",Negativa
"@StrMune Si me entero que no le guardas a @Nahrelia alguno, me enfado! Disfrutarlos, bonicos!",Negativa
"@FDOFLORES Otro... Que carajo tuvo que ver liga en ese asunto? Vino jugando de otros equipos! No se formó en liga! Dejen de llorar! Los del astillero si tienen laaaargaaa experiencia en jugadores con edad trucha, vieja práctica de los Roggiero, Villacis, etc.. Pucha que son llorones acá!!.",Negativa
"Tendemos a pensar que hay emociones buenas y emociones malas, pero lo cierto es que todas las emociones son necesarias. La tristeza es una emoción básica, junto con la alegría, el enfado, la sorpresa y el miedo. Por eso es tan importante que nos permitamos sentir todas ellas.",Positiva
"que triste xfa, sabes pq mencione todo eso? pq apoyas a un par d hormonados q me llaman puta por simplemente ser mujer y vos también estas haciendo lo mismo, q horror que t chupe un huevo, ojala no tengas q pasar por nada así ni q tengamos q pedir justicia pq t mato un machito https://t.co/udpejHkYd4",Negativa
Musiquita de la felicidad. 😊🎶 https://t.co/pPshWEzEfS,Positiva
🔴 ÚLTIMA HORA | Sanidad notifica 6.216 nuevos contagios de coronavirus y 117 muertes. La incidencia en España vuelve a subir ligeramente https://t.co/bNldTn8gRR https://t.co/ANmF88hkCD,Negativa
"""camila está muy mal con shawn, se ve triste"" 
camila: https://t.co/rjg15dGugV",Positiva
Lamento tener que tuitear esta vez. Murió Don Luis Bedoya. Con él se fue una clase política que ya quisiéramos tener.,Neutra
@pupinaplomer Te abrazo fuerte. Por que se ve que tu papá no sabe hacerlo. Conozco casos de amigas que les contaron a sus papas y no les creyeron muy triste.,Negativa
España suma 6.216 nuevos contagios  y 117 muertes más https://t.co/izI1Tgszu7,Negativa
@Pablo_Alegre @SalinasDeportes Jajajaja ya tranquilo oe . Es un meme 🤣,Positiva
bye not me diciendo q no importa cuando acabo de llorar media hora por una calificación,Negativa
"#VIDEO ¡LEALES SIEMPRE, TRAIDORES NUNCA! 

Seguiremos firmes y fieles a tu legado Comandante Chávez 🇻🇪♥ ¡Venezuela solo tiene un destino, construir su felicidad! 

@NicolasMaduro 
@dcabellor https://t.co/fepEnbhJvl",Positiva
"Me da miedo que cuando me decido a hacer una playlist para llorar, al parecer yo busco la depresión absoluta.... dios lezz  del pasado ¿puedes relajarte un buen?",Neutra
fo q bronca q de la nada me ponga triste,Negativa
"Tenía la creencia de que si no te metías con nadie, nadie se metía contigo. Pero no es así, porque hay gente a la que le molesta tu felicidad, tu físico, tu esencia, tus gustos, qué haces y que dejas de hacer.",Negativa
@paterjm triste es que una persona esté sufriendo en una camilla sin poder hacer nada por ella misma o por su vida solo por el hecho de que sus familiares o personas más cercanas son egoístas y no quieren dejarla ir :/,Negativa
@NicolasMaduro Precidente le cuento que el billete de 20000 no lo quieren aceptar en los mercado triste noticia el pueblo se molesta con los comerciantes,Negativa
@dakolics triste,Negativa
"Cuantas veces Maia habrá ido a pedir una hamburguesa y como a muchos chicos los sacaron a patadas no ? 
Triste muy triste todo .. https://t.co/i7MBDcsBkt",Negativa
"El Parlamento Europeo levanta la inmunidad de Puigdemont y otros fugados. 

Empezamos esta batalla en los tribunales y perseveramos.

Agradezco a todos los eurodiputados que han votado a favor de la soberanía judicial de España.

Inmunidad no es impunidad. https://t.co/eemQBUix3S",Neutra
"Das risa malcriadin, o sea tenemos periodismo parcializado a gusto de los dueños de cada medio y aceptas la manipulación de sus noticias, pero recién lo notas ahora que te bajaron a la fábrica de fakes Willax y antes ni te fastidiaba y colaborabas con esa desinformación. https://t.co/afloryVCxN",Negativa
¿Cuándo va a entender Efraín Alegre que a el TAMPOCO lo queremos?,Negativa
"@pulpo_regalado yuju yuju, muchisimas felicidades en esta vuelta al sol, que sea un año de muchas bendiciones y felicidad en tu vida,  te mando un fuerte abrazo, y recuerda disfrutar de todo lo que te guste sin limitación, sin el que dirán, libre y feliz, FELİZ CUMPLEAÑOS 🥳🥳 https://t.co/hpk5YzDKrK",Positiva
"Tengo 28 años. Llevo meses que no estoy bien, no soy la misma persona alegre y divertida que conocemos. Convivo con ataques de ansiedad, llantos casi diarios y una sensación de tristeza y cansancio tremenda. Cuando empecé se lo comenté a mi médico y me recetó lexatin y diazepam.",Negativa
"que triste estoy, ayer desinstale minecraft 😢",Negativa
Lo triste que es tener transtorno de ansiedad y ser altamente funcional 🤣😭,Negativa
"@ElDiestro_ Odiar, odiar, siempre odiar...
Se lo han inculcado en la educación?
Qué triste!
Qué mal se tienen que sentir.",Negativa
"Se puede vivir de shakes, jugos, suplementos y complementos? Tal vez si, pero sería una vida triste. Los alimentos no son unicamente NUTRIMENTOS, son EXPERIENCIAS de vida! Vivamos la  experiencia placentera de embarrarse con un mango, morder un taco y oir el crujir de una manzana",Positiva
"¡Compadres!   esos Bancos y esas colas para echar combustible nos van terminar echando una vaina, sobre todo los Bancos con ese gentío encerrado, muchas vece sin aire, ademas de la ""necesidad"" de la gente q se ve obligada, hay autoridades con mucha responsabilidad con lo q suceda",Neutra
"@IvanCepedaCast Dr cepeda personas como usted son las que necesitamos para poder salir adelante, que triste es ver qué aún hay personas que creen que el Uribismo es la solución, siga así siendo una piedra en el zapato, no está solo",Positiva
"Siempre tan alegre, pequeña, tan infantil, tan optimista, tan good vibes, tan tierna, lesbiana, loca, zorra, infantil, loca, soft, loca, pequeña,loca etc. Así te amo, nunca cambies. ♥︎",Positiva
"Tendemos a pensar que hay emociones buenas y emociones malas, pero lo cierto es que todas las emociones son necesarias. La tristeza es una emoción básica, junto con la alegría, el enfado, la sorpresa y el miedo. Por eso es tan importante que nos permitamos sentir todas ellas.",Positiva
"@ArrobaIvi todo mal viste, triste todo😭😭😭",Negativa
"El que no tiene voluntad de cambiar no cambia nunca, es triste pero es así. Dejemos de buscar la felicidad en el mismo lugar donde la perdimos",Positiva
"estoy demasiado triste, pero ya ni me sale llorar, necesito un abrazo",Negativa
"Pablo Iglesias exige al PSOE que incluya la regulación de los alquileres en la ley de vivienda: ""Lo que se firma, se cumple"" https://t.co/Y3cDVLjc4U",Neutra
@ttaeuzumaki Por hacerme llorar con el video de hyunjin,Negativa
"Qué felicidad que hayan encontrado a Maia con vida, es aunque sea UNA noticia buena entre tantas de mierda. Ahora bien, que quede bien en claro que la encontraron LOS VECINOS, no la encontró el payaso de Berni por más de que haya el show que hace. No se coman el verso.",Negativa
¿Cuándo va a entender Efraín Alegre que a el TAMPOCO lo queremos?,Negativa
Fantastica alegre coqueta con la cámara que la adora 👌💙💙💙#TubaBüyüküstün https://t.co/I6GnXVyXHz,Positiva
Evadir impuestos en España debería ser deporte nacional. https://t.co/vGKL62Wbqh,Neutra
@Fulanita_DeTaal Leí alegría y pensé Mari alegre? Así que volví a leer y entendí bien,Neutra
@peru21noticias Lo que @virgilio_acuna no sabe es que con lo racista que es #LopezAliaga lo va a utilizar y después le va a tirar una patada donde ya sabe. QUÉ ILUSO! o qué cree que le van a dar un MINISTERIO?                             PAPANATAS que se alegre si lo contratan como porta pliegos,Negativa
"@trecepy Che qué tal la presunción de inocencia y del deber de comunicar responsablemente? se esfuman por orden de arriba? Tremenda demanda se pueden ganar, BASTA DE PERSECUCIÓN POLÍTICA A ESTUDIANTES https://t.co/XXvHHkKngU",Negativa
Llorar no estaba en mis planes hoy,Negativa
"Por alguna razón, estoy bien triste por lo de Horacio): llorando con las canciones y todo",Negativa
"@Regoteos Entiendo el enfado, yo también estoy enfadado con muchas de las cosas que se hacen y cómo se hacen... pero creo que, simplemente, no había datos suficientes datos sobre la mesa hasta esta tarde...

un abrazo apretao :***",Negativa
Estoy triste quiero tatuarme,Neutra
@MartinSantosR Lo que debemos es recoger firmas para disminuir el número de congresistas al menos a la mitad. Disminuir la cantidad de ops que muchos son parásitos que no hacen nada y cobran mucho. Y votar por gente nueva y buena en política NO por los hijos de o familia de o amigo de,Neutra
"@AguadoSayalero ¡Cuánto hay que cambiar en España!
#VoxEsImparable",Negativa
estoy triste https://t.co/F4jse29a4g,Negativa
"No me enojé, me puse triste",Negativa
"""La felicidad, para mí consiste en gozar de buena salud, en dormir sin miedo y despertar sin angustia"". 
Françoise Sagan
#Fuedicho https://t.co/SblMbGVp3O",Positiva
"@horns_moon forma, aunque tampoco lo había negado completamente. 

Después, el enfado cubrió todos sus sentidos. Sintió que él no podía ser culpado, que había sido un simple juego en manos de alguien que sabía perfectamente lo que hacía. La rabia cubrió el recuerdo del hombre pelirrojo, le +",Neutra
"@thehermesprank Cosas como enojarme y romper cosas. La última vez le rompí una silla en la espalda a Sherman. Por suerte no se enfadó conmigo. Esa fue la mejor de todas, sin lugar a dudas.",Negativa
"dios que risa que los papas/familiares llamen a las canciones EN ESPAÑOL por ejemplo es bohemian rhapsody pero le dicen ""rapsodia bojemia"" 😭😭😭😭",Neutra
"Pasarla bien, un rato, una noche, sin depender emocionalmente de nadie, sin joder la vida a nadie, ser directos y claros. Es tan fácil y ustedes se complican tanto",Positiva
YO SOY EL MUCHACHO ALEGRE🎶🎤🍻 https://t.co/VEXSaGuWJn,Positiva
"Las acciones para fortalecer la implementación de la #Agenda2030, los #ODS y la década de acción son, y serán cada vez más, nuestros fundamentos para construir un futuro mejor y un futuro colectivo con una región unida: @aliciabarcena en ceremonia de clausura del #ForoALC2030. https://t.co/e81z3sMRdp",Negativa
"ajajajjajajajajajajajajajaja que chistoso el meme. Bueno por lo menos con 11 casos de Covid la U se presento a jugar igual, mientras que otros aca por uno, abandonaron un partido contra Antofagasta #EsoNoMasTeDigo... https://t.co/q1WKHTTSAu",Neutra
"Chat: *llorando*

Aur0n: ... No lloreis, no lloreis, es que sois unos dramas, de verdad... *canta* no me llores más, preciosa mía~ 

Chat inmediatamente: auronDancing, auronDancing

Aur0n: ¿os ha gustao? *sonrie*

Nos vio llorar y nos cantó, NO SOY FUERTE.",Negativa
los logros de mis amigos -&gt; mi felicidad,Positiva
"¿Qué sucederá en un futuro sin cookies? Claves para adaptarse al nuevo entorno forzado por Google
https://t.co/LLAO6kTALZ",Neutra
"@CesarAcunaP @ppc_peru Que triste noticia ingeniero, que Dios lo tenga en su gloria y les de las fuerzas a sus familiares, mi mas sentido pesame.",Negativa
ups! La película favorita de Jesús el de la isla de las tentaciones https://t.co/UYgzXlKmGg,Negativa
"PERDER EL APETITO POR ESTAR TRISTE ES EL PEOR SENTIMIENTO DE TODOS, TENGO PRUEBAS Y CERO DUDAS",Negativa
"El Cocker Spaniel americano es un raza afable, confiable y alegre, es un perro inteligente al que le gusta estar ocupado, le encanta jugar y pasar el rato con su familia.
Timbre: Cocker Spaniel americano, país: Bielorrusia, año: 2017. https://t.co/NPB0qQQA2o",Positiva
"@AIREdeTURISMO @hosteltur Y APROVECHANDO LA PANDEMIA Aeroméxico ROBA A ADULTOS MAYORES.
Compré vuelos en oct. y volar en abril.
PEDI OPCIONES X RESTRICCIONES a EUA.
OCTUBRE, COBRARON 24,417.00.
CANCELARON UNILATERALMENTE EN ENERO.
AHORROS ANUALES DE MAYORES.
No devolvieron ni LA TUA.
Puse queja en PROFECO",Negativa
